Timestamp	ID	ID_Type	Latitude	Longitude	Uncerty_radius	Human_time
1588346435	3dd3bc7f67	1	47.661252	-122.315416	60	200501082035
1588346495	3dd3bc7f67	1	47.661133	-122.315347	60	200501082135
1588346555	3dd3bc7f67	1	47.661046	-122.315384	60	200501082235
1588346615	3dd3bc7f67	1	47.660981	-122.315304	60	200501082335
1588346675	3dd3bc7f67	1	47.66106	-122.315604	60	200501082435
1588346735	3dd3bc7f67	1	47.660937	-122.315475	60	200501082535
1588346795	3dd3bc7f67	1	47.660995	-122.315288	60	200501082635
1588347515	3dd3bc7f67	1	47.660815	-122.316496	30	200501083835
1588347575	3dd3bc7f67	1	47.660797	-122.315198	30	200501083935
1588347635	3dd3bc7f67	1	47.660797	-122.315112	5	200501084035
1588347695	3dd3bc7f67	1	47.660797	-122.314066	5	200501084135
1588347755	3dd3bc7f67	1	47.660753	-122.312049	5	200501084235
1588347815	3dd3bc7f67	1	47.660565	-122.309173	5	200501084335
1588347875	3dd3bc7f67	1	47.659792	-122.309624	5	200501084435
1588347935	3dd3bc7f67	1	47.65847	-122.309946	5	200501084535
1588347995	3dd3bc7f67	1	47.657182	-122.311321	5	200501084635
1588348055	3dd3bc7f67	1	47.654401	-122.309242	5	200501084735
1588364725	3dd3bc7f67	1	47.655627	-122.303974	25	200501132525
1588278445	3dd3bc7f67	1	47.65572	-122.301964	225	200501132725
1588365028	3dd3bc7f67	1	47.658034	-122.304189	50	200501133025
1588365325	3dd3bc7f67	1	47.658069	-122.304189	50	200501133525
1588365355	3dd3bc7f67	1	47.646649	-122.315675	170	200501133555
1588365385	3dd3bc7f67	1	47.658012	-122.304114	50	200501133625
1588365415	3dd3bc7f67	1	47.646684	-122.315675	170	200501133655
1588365445	3dd3bc7f67	1	47.65797	-122.304093	50	200501133725
1588365475	3dd3bc7f67	1	47.646627	-122.3156	170	200501133755
1588365505	3dd3bc7f67	1	47.658341	-122.304136	50	200501133825
1588365665	3dd3bc7f67	1	47.646627	-122.3156	170	200501134105
1588367425	3dd3bc7f67	1	47.658012	-122.304114	50	200501141025
